          Zone             Team                Brand                       Product_Name       All Regions  10-Feb-26
845      North        ACHIEVERS                 VONZ                  Vonz Tab 10mg 30s  DERA ISMAIL KHAN      10.00
848      North        ACHIEVERS                 VONZ            Vonz Tab 10mg 30s Total               All      10.00
850      North        ACHIEVERS                 VONZ                  Vonz Tab 20mg 30s  DERA ISMAIL KHAN       3.00
852      North        ACHIEVERS                 VONZ                  Vonz Tab 20mg 30s            Mardan      10.00
854      North        ACHIEVERS                 VONZ            Vonz Tab 20mg 30s Total               All      13.00
855      North        ACHIEVERS           VONZ Total                                All               All      23.00
856      North  ACHIEVERS Total                  All                                All               All     274.00
1161     South        ACHIEVERS                ASVON             Asvon Tab 10/100mg 30s         Karachi-I       1.00
1166     South        ACHIEVERS                ASVON             Asvon Tab 10/100mg 30s            Quetta       4.00
1167     South        ACHIEVERS                ASVON             Asvon Tab 10/100mg 30s            Sukkur       1.00
1168     South        ACHIEVERS                ASVON       Asvon Tab 10/100mg 30s Total               All       6.00
1169     South        ACHIEVERS          ASVON Total                                All               All       6.00
1170     South        ACHIEVERS               ATOXAN                   Atoxan 30mg Tab.              DADU      15.00
1173     South        ACHIEVERS               ATOXAN                   Atoxan 30mg Tab.         Karachi-I       8.01
1174     South        ACHIEVERS               ATOXAN                   Atoxan 30mg Tab.        Karachi-II      12.99
1176     South        ACHIEVERS               ATOXAN                   Atoxan 30mg Tab.           Larkana       6.00
1180     South        ACHIEVERS               ATOXAN                   Atoxan 30mg Tab.            Sukkur       1.00
1181     South        ACHIEVERS               ATOXAN             Atoxan 30mg Tab. Total               All      43.00
1182     South        ACHIEVERS         ATOXAN Total                                All               All      43.00
1185     South        ACHIEVERS                D-ABS               D-ABS injection (IM)         Karachi-I       5.00
1186     South        ACHIEVERS                D-ABS               D-ABS injection (IM)        Karachi-II      10.00
1189     South        ACHIEVERS                D-ABS               D-ABS injection (IM)         Nawabshah      23.00
1191     South        ACHIEVERS                D-ABS         D-ABS injection (IM) Total               All      38.00
1196     South        ACHIEVERS          D-ABS Total                                All               All      38.00
1200     South        ACHIEVERS        Pentallin IVY                 Pentallin Syp. IVY          Khairpur       1.00
1203     South        ACHIEVERS        Pentallin IVY                 Pentallin Syp. IVY      Mir Pur Khas       7.00
1205     South        ACHIEVERS        Pentallin IVY           Pentallin Syp. IVY Total               All       8.00
1206     South        ACHIEVERS  Pentallin IVY Total                                All               All       8.00
1211     South        ACHIEVERS               ROPLEX        Roplex 50mg/5ml Syrup 120ml         Nawabshah       4.00
1213     South        ACHIEVERS               ROPLEX  Roplex 50mg/5ml Syrup 120ml Total               All       4.00
1214     South        ACHIEVERS         ROPLEX Total                                All               All       4.00
1215     South        ACHIEVERS               SWICEF             Swicef 100mg/5ml Susp.              DADU       3.00
1216     South        ACHIEVERS               SWICEF             Swicef 100mg/5ml Susp.         Hyderabad      10.00
1218     South        ACHIEVERS               SWICEF             Swicef 100mg/5ml Susp.         Karachi-I      10.00
1220     South        ACHIEVERS               SWICEF             Swicef 100mg/5ml Susp.          Khairpur      10.00
1227     South        ACHIEVERS               SWICEF       Swicef 100mg/5ml Susp. Total               All       5.00
1228     South        ACHIEVERS               SWICEF          Swicef DS 200mg/5ml Susp.              DADU       5.00
1229     South        ACHIEVERS               SWICEF          Swicef DS 200mg/5ml Susp.         Hyderabad      13.00
1235     South        ACHIEVERS               SWICEF          Swicef DS 200mg/5ml Susp.           Larkana       6.00
1240     South        ACHIEVERS               SWICEF    Swicef DS 200mg/5ml Susp. Total               All      24.00
1241     South        ACHIEVERS         SWICEF Total                                All               All      29.00
1243     South        ACHIEVERS           VITAGLOBIN             VITAGLOBIN Syrup 120ml         Jacobabad       5.00
1244     South        ACHIEVERS           VITAGLOBIN             VITAGLOBIN Syrup 120ml         Karachi-I       4.00
1245     South        ACHIEVERS           VITAGLOBIN             VITAGLOBIN Syrup 120ml        Karachi-II       3.00
1246     South        ACHIEVERS           VITAGLOBIN             VITAGLOBIN Syrup 120ml           Larkana      10.00
1247     South        ACHIEVERS           VITAGLOBIN             VITAGLOBIN Syrup 120ml      Mir Pur Khas       4.00
1248     South        ACHIEVERS           VITAGLOBIN             VITAGLOBIN Syrup 120ml         Nawabshah       6.00
1251     South        ACHIEVERS           VITAGLOBIN       VITAGLOBIN Syrup 120ml Total               All      24.00
1253     South        ACHIEVERS           VITAGLOBIN                Vitaglobin Plus Syp         Hyderabad       5.00
1255     South        ACHIEVERS           VITAGLOBIN                Vitaglobin Plus Syp         Karachi-I       1.00
1260     South        ACHIEVERS           VITAGLOBIN                Vitaglobin Plus Syp            Sukkur       3.00
1261     South        ACHIEVERS           VITAGLOBIN          Vitaglobin Plus Syp Total               All       8.00
1262     South        ACHIEVERS           VITAGLOBIN                    Vitaglobin Syp.              DADU      21.00
1264     South        ACHIEVERS           VITAGLOBIN                    Vitaglobin Syp.         Jacobabad      20.00
1265     South        ACHIEVERS           VITAGLOBIN                    Vitaglobin Syp.         Karachi-I      34.00
1266     South        ACHIEVERS           VITAGLOBIN                    Vitaglobin Syp.        Karachi-II      10.00
1267     South        ACHIEVERS           VITAGLOBIN                    Vitaglobin Syp.          Khairpur     100.00
1268     South        ACHIEVERS           VITAGLOBIN                    Vitaglobin Syp.           Larkana      20.00
1270     South        ACHIEVERS           VITAGLOBIN                    Vitaglobin Syp.         Nawabshah       8.00
1272     South        ACHIEVERS           VITAGLOBIN                    Vitaglobin Syp.            Sukkur      13.00
1273     South        ACHIEVERS           VITAGLOBIN              Vitaglobin Syp. Total               All     226.00
1274     South        ACHIEVERS     VITAGLOBIN Total                                All               All     258.00
1275     South        ACHIEVERS                 VONZ                  Vonz Tab 10mg 30s              DADU      15.00
1276     South        ACHIEVERS                 VONZ                  Vonz Tab 10mg 30s         Jacobabad       3.00
1278     South        ACHIEVERS                 VONZ                  Vonz Tab 10mg 30s        Karachi-II       1.00
