          Zone             Team                Brand                       Product_Name       All Regions  9-Feb-26
839      North        ACHIEVERS           VITAGLOBIN                    Vitaglobin Syp.             Kohat        40
841      North        ACHIEVERS           VITAGLOBIN                    Vitaglobin Syp.              Swat         1
842      North        ACHIEVERS           VITAGLOBIN              Vitaglobin Syp. Total               All        38
843      North        ACHIEVERS     VITAGLOBIN Total                                All               All        69
850      North        ACHIEVERS                 VONZ                  Vonz Tab 20mg 30s  DERA ISMAIL KHAN         5
853      North        ACHIEVERS                 VONZ                  Vonz Tab 20mg 30s          Peshawar         8
854      North        ACHIEVERS                 VONZ            Vonz Tab 20mg 30s Total               All        13
855      North        ACHIEVERS           VONZ Total                                All               All        13
856      North  ACHIEVERS Total                  All                                All               All       245
1161     South        ACHIEVERS                ASVON             Asvon Tab 10/100mg 30s         Karachi-I         3
1164     South        ACHIEVERS                ASVON             Asvon Tab 10/100mg 30s           Larkana         8
1165     South        ACHIEVERS                ASVON             Asvon Tab 10/100mg 30s         Nawabshah         6
1168     South        ACHIEVERS                ASVON       Asvon Tab 10/100mg 30s Total               All        16
1169     South        ACHIEVERS          ASVON Total                                All               All        16
1172     South        ACHIEVERS               ATOXAN                   Atoxan 30mg Tab.         Jacobabad        11
1173     South        ACHIEVERS               ATOXAN                   Atoxan 30mg Tab.         Karachi-I         1
1174     South        ACHIEVERS               ATOXAN                   Atoxan 30mg Tab.        Karachi-II        17
1175     South        ACHIEVERS               ATOXAN                   Atoxan 30mg Tab.           Khuzdar         3
1176     South        ACHIEVERS               ATOXAN                   Atoxan 30mg Tab.           Larkana         3
1177     South        ACHIEVERS               ATOXAN                   Atoxan 30mg Tab.      Mir Pur Khas         4
1178     South        ACHIEVERS               ATOXAN                   Atoxan 30mg Tab.         Nawabshah         3
1180     South        ACHIEVERS               ATOXAN                   Atoxan 30mg Tab.            Sukkur        12
1181     South        ACHIEVERS               ATOXAN             Atoxan 30mg Tab. Total               All        44
1182     South        ACHIEVERS         ATOXAN Total                                All               All        44
1183     South        ACHIEVERS                D-ABS               D-ABS injection (IM)              DADU        10
1184     South        ACHIEVERS                D-ABS               D-ABS injection (IM)         Jacobabad        20
1185     South        ACHIEVERS                D-ABS               D-ABS injection (IM)         Karachi-I         2
1186     South        ACHIEVERS                D-ABS               D-ABS injection (IM)        Karachi-II         4
1187     South        ACHIEVERS                D-ABS               D-ABS injection (IM)           Larkana         5
1189     South        ACHIEVERS                D-ABS               D-ABS injection (IM)         Nawabshah         3
1190     South        ACHIEVERS                D-ABS               D-ABS injection (IM)            Sukkur         5
1191     South        ACHIEVERS                D-ABS         D-ABS injection (IM) Total               All        49
1196     South        ACHIEVERS          D-ABS Total                                All               All        49
1198     South        ACHIEVERS        Pentallin IVY                 Pentallin Syp. IVY         Jacobabad        10
1203     South        ACHIEVERS        Pentallin IVY                 Pentallin Syp. IVY      Mir Pur Khas         6
1204     South        ACHIEVERS        Pentallin IVY                 Pentallin Syp. IVY         Nawabshah         1
1205     South        ACHIEVERS        Pentallin IVY           Pentallin Syp. IVY Total               All        17
1206     South        ACHIEVERS  Pentallin IVY Total                                All               All        17
1212     South        ACHIEVERS               ROPLEX        Roplex 50mg/5ml Syrup 120ml            Sukkur         3
1213     South        ACHIEVERS               ROPLEX  Roplex 50mg/5ml Syrup 120ml Total               All         3
1214     South        ACHIEVERS         ROPLEX Total                                All               All         3
1215     South        ACHIEVERS               SWICEF             Swicef 100mg/5ml Susp.              DADU         1
1217     South        ACHIEVERS               SWICEF             Swicef 100mg/5ml Susp.         Jacobabad        10
1219     South        ACHIEVERS               SWICEF             Swicef 100mg/5ml Susp.        Karachi-II        23
1222     South        ACHIEVERS               SWICEF             Swicef 100mg/5ml Susp.           Larkana        13
1223     South        ACHIEVERS               SWICEF             Swicef 100mg/5ml Susp.      Mir Pur Khas        30
1224     South        ACHIEVERS               SWICEF             Swicef 100mg/5ml Susp.         Nawabshah         2
1227     South        ACHIEVERS               SWICEF       Swicef 100mg/5ml Susp. Total               All        79
1228     South        ACHIEVERS               SWICEF          Swicef DS 200mg/5ml Susp.              DADU         6
1234     South        ACHIEVERS               SWICEF          Swicef DS 200mg/5ml Susp.           Khuzdar         7
1235     South        ACHIEVERS               SWICEF          Swicef DS 200mg/5ml Susp.           Larkana        13
1237     South        ACHIEVERS               SWICEF          Swicef DS 200mg/5ml Susp.         Nawabshah         2
1240     South        ACHIEVERS               SWICEF    Swicef DS 200mg/5ml Susp. Total               All        27
1241     South        ACHIEVERS         SWICEF Total                                All               All       106
1242     South        ACHIEVERS           VITAGLOBIN             VITAGLOBIN Syrup 120ml         Hyderabad         4
1243     South        ACHIEVERS           VITAGLOBIN             VITAGLOBIN Syrup 120ml         Jacobabad        22
